model,best_val_acc,test_acc,precision,recall,f1_score,auc
resnet50,0.9807692307692307,0.9722222222222222,0.9825581395348837,0.9666666666666666,0.973684033794039,0.9938851487564724
tf_efficientnetv2_s,0.9711538461538461,0.9537037037037037,0.9533699633699633,0.9583333333333333,0.9554633425105474,0.9985127005347594
resnest50d,0.9615384615384616,0.9537037037037037,0.9544522144522145,0.9604166666666667,0.9563008472513937,0.9925113795518207
