epoch,train_loss,val_loss,val_acc
1,0.5183398963670295,0.6802741839335515,0.8076923076923077
2,0.24674732470406724,0.06954220897303177,0.9711538461538461
3,0.1674511293437581,0.31420159712433815,0.8653846153846154
4,0.08509338272383324,0.616627071912472,0.8461538461538461
5,0.0856110929503333,0.13857660182894996,0.9807692307692307
6,0.015571159086642285,0.08627256057493818,0.9711538461538461
7,0.030013263275690392,0.07327961781825601,0.9903846153846154
8,0.01685982761153982,0.0716602789056756,0.9807692307692307
9,0.036973294187378436,0.047571680451465696,0.9903846153846154
10,0.012374564858244874,0.10990328714251518,0.9807692307692307
11,0.005036579964594824,0.0526343744775029,0.9903846153846154
12,0.002058066526442362,0.10250867122914105,0.9903846153846154
13,0.014606815272214926,0.03468389952412018,0.9903846153846154
14,0.014356866178412945,0.06000632615765566,0.9903846153846154
15,0.0027322672481868895,0.04191947635710956,0.9903846153846154
16,0.0035046318199038503,0.058306794344389345,0.9903846153846154
17,0.0009233165957292891,0.06061836782800338,0.9903846153846154
18,0.0008698421363252341,0.07229384010581551,0.9903846153846154
19,0.0007134992800779174,0.09474672284648897,0.9903846153846154
20,0.008095859765693679,0.10372606759203616,0.9903846153846154
