epoch,train_loss,val_loss,val_acc
1,0.44419167763335604,0.19177766285765058,0.9519230769230769
2,0.07345891754079227,0.08129782158553447,0.9519230769230769
3,0.04792980743362113,0.08776623867631245,0.9519230769230769
4,0.05888326813336174,0.10451344397957794,0.9711538461538461
5,0.0492806736585838,0.15143218707061562,0.9903846153846154
6,0.020372012935596137,0.07987889712717006,0.9903846153846154
7,0.0052498512579219605,0.16825066994413015,0.9903846153846154
8,0.000716232816440775,0.16860618012736184,0.9903846153846154
9,0.0031103251351045735,0.13092254926126892,0.9903846153846154
10,0.000687721902600863,0.1225919524270099,0.9903846153846154
11,0.0001196286246372631,0.15973840509960924,0.9903846153846154
12,0.001200991941321622,0.13091548160759622,0.9807692307692307
13,0.00017709927088370542,0.13641233432005498,0.9903846153846154
14,6.280392677306029e-05,0.1378375076695175,0.9903846153846154
15,0.00012805946056191497,0.1648143852304757,0.9903846153846154
16,0.0077356890901660955,0.21413291572781207,0.9903846153846154
17,0.0002542579725003591,0.18056200467957786,0.9903846153846154
18,0.0002495743736939087,0.19870467118076143,0.9903846153846154
19,0.0002881780018464909,0.21860419467591677,0.9807692307692307
20,0.00011131681422283568,0.21692870832330266,0.9807692307692307
