epoch,train_loss,val_loss,val_acc
1,0.33615130239598506,0.12881724994916183,0.9519230769230769
2,0.057477800829416385,0.06744479574263096,0.9711538461538461
3,0.031696799482114124,0.09730081030955681,0.9711538461538461
4,0.04570101025186011,0.07111153332516551,0.9807692307692307
5,0.02701313809741664,0.11415966528539474,0.9807692307692307
6,0.013127009687371311,0.014646054231539333,0.9903846153846154
7,0.001850018314000178,0.04433591070567043,0.9807692307692307
8,0.0018138101905018152,0.02143550750070762,0.9903846153846154
9,0.0006685337800338382,0.02397380752671989,0.9903846153846154
10,0.0003460379958363504,0.01611797675622466,0.9903846153846154
11,0.0012025486991146844,0.08076743746474116,0.9807692307692307
12,0.00022248954828099074,0.06342834564503182,0.9903846153846154
13,0.00015249301758956697,0.06179373712466958,0.9807692307692307
14,0.00011951509719830699,0.04724305626209221,0.9903846153846154
15,0.00025029409325795087,0.006891950780580094,1.0
16,0.00036148019991447193,0.05028404273728553,0.9903846153846154
17,0.00020710456755967612,0.014529226739586402,0.9903846153846154
18,0.00022184775268262646,0.021146716205014224,0.9903846153846154
19,0.0012881759548318144,0.027139311433879463,0.9807692307692307
20,0.00021680118793723793,0.037518661509378805,0.9903846153846154
21,0.0001345711703283097,0.030148303735726446,0.9903846153846154
22,5.627792144956639e-05,0.0259511164255785,0.9903846153846154
23,9.860872090534222e-05,0.03272348386032648,0.9903846153846154
24,0.00010671554692082636,0.04961321305829468,0.9903846153846154
25,0.0001445271472999804,0.007903437226419695,1.0
